Seller,Relationship,Customer1,Relationship,Customer2,SellerJurisdiction,SellerBUNature,CustomerJurisdiction1,CustomerBUNature1,CustomerJurisdiction2,CustomerBUNature2
78B9FED70E0EFFB97E6F7A1A61339281,Sellto,5B3D50D4CD49731893F9E914E12BEF0A,,,VM0702,"Recipient of Goods or Services,Supplier of Services",ZA0401,"Service Provision,Recipient of Goods or Services,Others,Supplier of Services",,
723ABF7D3661E3DCB6910DFF3D9E6CDE,Sellto,5B3D50D4CD49731893F9E914E12BEF0A,,,VN0205,"Service Provision,Recipient of Goods or Services,Supplier of Services",ZA0401,"Service Provision,Recipient of Goods or Services,Others,Supplier of Services",,
3DD593FF986A16E6589B4D7207F30762,Sellto,5580DA06080ACE920BE352E465A7F658,,,ZA0104,"Input Service Distributor (ISD),Service Provision,Office \/ Sale Office,Recipient of Goods or Services",ZA0302,Factory \/ Manufacturing,,
63270B25266B30A7737AE79E507DF2BB,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,XU0305,"Service Provision,Recipient of Goods or Services",ZA0201,Others,,
0CA52976A7038DCCEE8B59D8BF400379,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,UI0202,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
4DAF8AD2872421D8E68BE12219FA49EC,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,ZQ0504,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
835EEF932CA1C44F5911DB8B0B732EB3,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,ZJ0703,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
677A90C3705FA49917F40448739896BC,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,YV0404,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
955352F183C24C1840C3CDEB19339763,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,UQ0103,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
EE51A590941D4ADEEADB13A39CB46A91,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,ZU0105,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
E5BC6FC6B527F999D3F86BA30638B19E,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,TL0604,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services",ZA0201,Others,,
410BD1BF299F83D806E3A43A256D2BAD,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,US0101,"Input Service Distributor (ISD),Service Provision,Recipient of Goods or Services,Office \/ Sale Office",ZA0201,Others,,
125A45F148F8C6429327866F5ED367FD,Sellto,FBF82EB6DB8353D2CE974463B1804750,,,YK0201,"Office \/ Sale Office,Export,Import,Recipient of Goods or Services,Supplier of Services",ZA0201,Others,,
